Eager beaver,Currante,Personne zélée,,,,,,
E-biking,Ciclismo electrónico,Vélo électrique,,,,,,
Edge Cutter,Cortador de Bordes,Coupe-bordure,,,,,,
Email,Correo Electrónico,E-mail,,,,,,
English,Ingles,Anglais,,,,,,
Enter Area to Search,Introduzca la zona a buscar,Entrez la zone à rechercher,,,,,,
Enter Medical Allergies,Introduzca sus alergias,Entrez les allergies médicales,,,,,,
Expiration,Vencimiento,Expiration,,,,,,
Filter Selection,Selección de Filtro,Sélection de filtre,,,,,,
Fine Prints,Letra pequeña,Impressions fines,,,,,,
Finish Journey,Terminar el viaje,Terminer le voyage,,,,,,
FINISH JOURNEY,TERMINAR AL VIAJE,FIN DU VOYAGE,,,,,,
First Name,Nombre,Prénom,,,,,,
Fishing,Pescuera,Faire de la pêche,,,,,,
French,Frances,français,,,,,,
Gender,Género,Genre,,,,,,
Global,Global,Global,,,,,,
Go Ahead,Continuar,Vas-y,,,,,,
Go Getter,Emprendedora,Allez Getter,,,,,,
Golfing,Golf,Golf,,,,,,
Google Pay,Google Pay,Google Pay,,,,,,
Height,Estatura,Hauteur,,,,,,
Herculean Ring,Anillo Hercúleo,Anneau herculéen,,,,,,
Hiking,Senderismo,Randonnée,,,,,,
Horizon Summit,Cumbre del Horizonte,Sommet Horizon,,,,,,
Ice Skating,Patinaje sobre hielo,Patinage sur glace,,,,,,
If you leave this page without saving you will lose the content you have provided,"Si abandona esta página sin guardar, perderá el contenido que haya proporcionado","Si vous quittez cette page sans enregistrer, vous perdrez le contenu que vous avez fourni",,,,,,
Indoor activity,Actividades de Interior,Activité intérieure,,,,,,
Jetskiing,Esquí acuático,Faire du jet ski,,,,,,
JOIN NEW JOURNEY,UNIRSE NUEVO VIAJE,REJOIGNEZ UN NOUVEAU VOYAGE,,,,,,
Journey Active,Viaje Activa,Parcours Actif,,,,,,
Journey Details,Detalles del Viaje,Détails du voyage,,,,,,
Journey director,Director del Viaje,Directeur de voyage,,,,,,
Journey Director,Director del Viaje,Directeur de voyage,,,,,,
Journey Paused,Viaje en pausa,Trajet en pause,,,,,,
Kayaking,Kayak,Kayak,,,,,,
Language ,Idioma,Langue,,,,,,
Last Name,Apellido,Nom de famille,,,,,,
List Medical Conditions. If any.,"Inscribir todas tus condiciones médicas, si las hay",Énumérez les conditions médicales. Si seulement.,,,,,,
List View,Vista de lista,Affichage en liste,,,,,,
Listing Detail,Detalles de Listado,Détail de l'annonce,,,,,,
Live Journey,Viajes en Vivo,Voyage en direct,,,,,,
LOAD MORE,CARGAR MÁS,CHARGER PLUS,,,,,,
Locked,Bloqueado,Fermé à clé,,,,,,
LOG OUT,CERRAR SESIÓN,SE DÉCONNECTER,,,,,,
Logout,Cerrar Sesión,Se déconnecter,,,,,,
Luminary Icon,Icono de la Luminaria,Icône Luminaire,,,,,,
Marathon,Maratón,Marathon,,,,,,
Marathon,Maratón,Marathon,,,,,,
marathon,Maratón,marathon,,,,,,
Medical ,Médica ,Médical,,,,,,
Miles,Millas,Milles,,,,,,
Mountain Biking,Cicilisimo de montaña,Vélo de montagne,,,,,,
Multiple Journeys,Viajes Múltiples,Voyages multiples,,,,,,
My Journeys,Mis Viajes,Mes voyages,,,,,,
Once deleted you will not be able to retrieve this account. All information will be lost. Are you sure you would like to proceed?,"Cuando eliminada, no podrá recuperar esta cuenta. Toda la información se perderá. ¿Está seguro de que desea continuar?","Une fois supprimé, vous ne pourrez plus récupérer ce compte. Toutes les informations seront perdues. Êtes-vous sûr de vouloir continuer ?",,,,,,
Once you drop a pin you will not be able to delete it. Are you sure you would like to proceed? ,"Cuando sueltes un pin, no podrá eliminarlo. ¿Está seguro de que desea continuar? ","Une fois que vous avez déposé une épingle, vous ne pourrez plus la supprimer. Êtes-vous sûr de vouloir continuer?",,,,,,
Other,Otros,Autre,,,,,,
Other Adventures,Otras Aventuras,Autres Aventures,,,,,,
Outdoor activity,Actividades de Exterior,Activité de plein air,,,,,,
Paddle Boarding,Surf de Remo,Paddle Boarding,,,,,,
Passage Of Silver,La Via de la Plata,Passage d'argent,,,,,,
Photo,Foto,photo,,,,,,
PLACE ORDER,REALIZAR UN PEDIDO,PASSER LA COMMANDE,,,,,,
Please choose the type of adventure you will be doing,"Por favor, elija el tipo de aventura que va a realizar",Veuillez choisir le type d'aventure que vous ferez,,,,,,
Please enter your friend's phone number,"Por favor, introduzca el número de teléfono de su amigo",Veuillez entrer le numéro de téléphone de votre ami,,,,,,
POST,PUBLICAR,PUBLIER,,,,,,
Profile,Perfil,Profil,,,,,,
Progress,Progreso,Le progrès,,,,,,
Purchase Date,Fecha de Comprar,date d'achat,,,,,,
Purchase Details,Detalles de Comprar,Détails d'achat,,,,,,
Purchases,Compras,Achats,,,,,,
Recents,Recientes,Récent,,,,,,
Refresh,Actualizar,Rafraîchir,,,,,,
RESUME,Reanudar,REPRENDRE,,,,,,
Rowing,Remo,Aviron,,,,,,
Sailing,Surf a Vela,Voile,,,,,,
SAVE EDIT,GUARDAR EDICIÓN,ENREGISTRER MODIFIER,,,,,,
Save Information,Guardar Información,Enregistrer les informations,,,,,,
Save Journey,Guardar el viaje,Enregistrer le trajet,,,,,,
SAVE VISA,GUARDAR VISA,ÉCONOMISEZ LE VISA,,,,,,
Saving adventure! Will be ready momentarily  ,¡Guardando tu aventura! Estará listo en breve  ,Aventure salvatrice ! Sera prêt momentanément,,,,,,
SEARCH CONTACT,BUSCAR CONTACTO,RECHERCHE CONTACT,,,,,,
Select a pin that matches content below,Seleccione un pin que coincida con el contenido de abajo,Sélectionnez une épingle qui correspond au contenu ci-dessous,,,,,,
Select Activity,Selecciona la actividad,Sélectionnez l'activité,,,,,,
Select Item,Seleccionar el ítem,Sélectionner un article,,,,,,
Settings,Configuraciónes,Paramètres,,,,,,
Share,Compartir,Partager,,,,,,
Share journey,Compartir tu viaje,Partager le voyage,,,,,,
Share Location,Compartir tu viaje,Emplacement partagé,,,,,,
Skiing,Esquí,Ski,,,,,,
Snow Boarding,Snowboarding (or Snowboard),Planche a neige,,,,,,
Spanish,Español,Espagnol,,,,,,
STAY ON CURRENT,PERMANECER EN LA CORRIENTE,RESTEZ SUR COURANT,,,,,,
Surfing,Surf (or Surfear),Surfant,,,,,,
Swimming,Nadando,Natation,,,,,,
"Take a water break 
and start again","Tomar un descanso 
y vuelve a empezar","Faites une pause aquatique
et recommencer",,,,,,
Terms of Use and Services,Condiciones de Uso y Servicios,Conditions d'utilisation et services,,,,,,
The Explorer,El Explorador,L'explorateur,,,,,,
The extra mile,Esfuerzo Adicional,Le mile supplémentaire,,,,,,
The Passage of Silver,La Vía de la Plata,Le passage de l'argent,,,,,,
The Vibrant Notch,La Muesca Vibrante,L'encoche vibrante,,,,,,
There are currently no listings in this area,Actualmente no hay listadas en su área,Il n'y a actuellement aucune annonce dans ce domaine,,,,,,
Thurlodge Pass,Paso de Thurlodge,Pass Thurlodge,,,,,,
To be unlocked,Para ser desbloqueado,A débloquer,,,,,,
Travel Bug,Gusanillo de Viajar,Bug de voyage,,,,,,
Turbo Simmer,Tremendo Fuego Lento,Mijoter Turbo,,,,,,
Turbo simmer,Tremendo Fuego Lento,Mijotage turbo,,,,,,
Unlocked,Desbloqueada,Débloqué,,,,,,
Upload,Subir,Télécharger,,,,,,
User Name,Nombre de Usuario,Nom d'utilisateur,,,,,,
Video,Vídeo,Vidéo,,,,,,
Visa,Visa,Visa,,,,,,
VISA Error ,Error de Visa,Erreur VISA,,,,,,
Vise Setup,Configuar Visa,Configuration de l'étau,,,,,,
Walking,Caminando,Marche à pied,,,,,,
Wander Luster,El Espíritu Viajero,Lustre d'errance,,,,,,
Warm weather activity,Actividad de clima cálido,Activité par temps chaud,,,,,,
We were not able process the VISA card you provided. Please check your payment inforamtion and try again,"No hemos podido procesar la tarjeta VISA que nos ha facilitado. Por favor, compruebe su información de pago e inténtelo de nuevo.",Nous n'avons pas pu traiter la carte VISA que vous avez fournie. Veuillez vérifier vos informations de paiement et réessayer,,,,,,
We were unable to login with the email and password you have provided. Please try again. ,"Nos hemos podido iniciar la sesión con esa correo electrónico o contraseña. Por favor, inténtelo de nuevo.","
Nous n'avons pas pu nous connecter avec l'adresse e-mail et le mot de passe que vous avez fournis. Veuillez réessayer.",,,,,,
Weight,Peso,Poids,,,,,,
wisdom tree,Árbol de la Sabiduría,arbre de la sagesse,,,,,,
Wisdom Tree,Árbol de la Sabiduria,Arbre de la sagesse,,,,,,
Would you like to post this journey to global feed?,¿Le gustaría publicar este viaje a la feed global?,Souhaitez-vous publier ce voyage dans le flux mondial ?,,,,,,
You are able to share you journey live with a friend. A link will be texted to your friend notifying that your journey is avalible to view ,Puedes compartir tu viaje en directo con un amigo. Se enviará un enlace a tu amigo para notificarle que tu viaje está disponible para verlo. ,Vous pouvez partager votre voyage en direct avec un ami. Un lien sera envoyé par SMS à votre ami l'informant que votre voyage est disponible pour voir,,,,,,
You are currently viewing a live journey shared by your friend ,Estás viendo un viaje en directo compartido por tu amigo ,Vous regardez actuellement un voyage en direct partagé par votre ami,,,,,,
You currently dont have any activites purchased,No has comprado ninguna actividades,Vous n'avez actuellement aucune activité achetée,,,,,,
You do not currently have any adventures ,Actualmente no tienes ninguna aventuras,Vous n'avez actuellement aucune aventure,,,,,,
You have multiple Live Journeys shared with you. Would you like to discard the current journey and join the journey share with you by ,Tienes varios Viajes en directo compartidos contigo. ¿Desea descartar el viaje actual y unirse al viaje compartido con usted por ,Vous avez plusieurs parcours en direct partagés avec vous. Souhaitez-vous supprimer le trajet en cours et rejoindre le trajet partagé avec vous en,,,,,,
Your journey has been save to your home view,Tu viaje ha sido guardado en tu vista de inicio,Votre trajet a été enregistré dans votre vue d'accueil,,,,,,
Your journey has been saved to your home view,Tu viaje se ha guardado en tu vista de inicio,Votre trajet a été enregistré dans votre vue d'accueil,,,,,,
Your journey is currently paused due to bad GPS signal. Please resume when you move to an area with better signal. ,"Su viaje está en pausa debido a la mala señal del GPS. Por favor, reanúdelo cuando se desplace a una zona con mejor señal. ",Votre trajet est actuellement interrompu en raison d'un mauvais signal GPS. Veuillez reprendre lorsque vous vous déplacez dans une zone avec un meilleur signal.,,,,,,
Your journey is posted onto the global feed,Su viaje se publica en el feed global,Votre voyage est publié sur le flux global,,,,,,
Zip Code,Código postal,Code postal,,,,,,
